alias_id,place_id,alias
A_00869,P_0151,호캉스
A_00870,P_0152,콘도미니엄
A_00871,P_0152,리조트
A_00872,P_0152,기린빌라리조트
A_00873,P_0152,콘도
A_00874,P_0152,숙소
A_00875,P_0152,"콘도,리조트"
A_00876,P_0152,호캉스
A_00877,P_0152,기린빌라리조트 제주
A_00878,P_0153,치킨
A_00879,P_0153,프라이드
A_00880,P_0153,남문숯불바베큐앤치킨
A_00881,P_0153,닭강정
A_00882,P_0153,남문숯불바베큐앤치킨 중문점
A_00883,P_0153,닭
A_00884,P_0153,"치킨,닭강정"
A_00885,P_0153,닭요리
A_00886,P_0153,양념치킨
A_00887,P_0153,후라이드
A_00888,P_0154,다솜펜션
A_00889,P_0154,독채펜션
A_00890,P_0154,단독펜션
A_00891,P_0154,펜션
A_00892,P_0154,숙소
A_00893,P_0154,민박
A_00894,P_0155,더
A_00895,P_0155,더 혜윰 독채펜션
A_00896,P_0155,독채펜션
A_00897,P_0155,단독펜션
A_00898,P_0155,펜션
A_00899,P_0155,숙소
A_00900,P_0155,민박
